description,issue_type,key,labels,summary
"root@master:~ # puppet apply --configprint modulepath
/etc/puppetlabs/code/environments/production/modules:/etc/puppetlabs/code/modules:/opt/puppetlabs/puppet/modules
root@master:~ # puppet apply config --configprint certname
master.puppetlabs.vm
root@master:~ # puppet apply --configprint certname
master.puppetlabs.vm

The above usage is not clear from the puppetserver help documentation.

{noformat}
root@master:~ # puppet apply --configprint modulepath
/etc/puppetlabs/code/environments/production/modules:/etc/puppetlabs/code/modules:/opt/puppetlabs/puppet/modules
root@master:~ # puppet apply config --configprint certname
master.puppetlabs.vm
root@master:~ # puppet apply --configprint certname
master.puppetlabs.vm
root@master:~ # puppet apply --help

puppet-apply(8) -- Apply Puppet manifests locally
========

SYNOPSIS
--------
Applies a standalone Puppet manifest to the local system.


USAGE
-----
puppet apply [-h|--help] [-V|--version] [-d|--debug] [-v|--verbose]
  [-e|--execute] [--detailed-exitcodes] [-L|--loadclasses]
  [-l|--logdest syslog|eventlog|<FILE>|console] [--noop]
  [--catalog <catalog>] [--write-catalog-summary] <file>


DESCRIPTION
-----------
This is the standalone puppet execution tool; use it to apply
individual manifests.

When provided with a modulepath, via command line or config file, puppet
apply can effectively mimic the catalog that would be served by puppet
master with access to the same modules, although there are some subtle
differences. When combined with scheduling and an automated system for
pushing manifests, this can be used to implement a serverless Puppet
site.

Most users should use 'puppet agent' and 'puppet master' for site-wide
manifests.


OPTIONS
-------
Note that any setting that's valid in the configuration
file is also a valid long argument. For example, 'tags' is a
valid setting, so you can specify '--tags <class>,<tag>'
as an argument.

See the configuration file documentation at
https://docs.puppetlabs.com/puppet/latest/reference/configuration.html for the
full list of acceptable parameters. A commented list of all
configuration options can also be generated by running puppet with
'--genconfig'.

* --debug:
  Enable full debugging.

* --detailed-exitcodes:
  Provide extra information about the run via exit codes. If enabled, 'puppet
  apply' will use the following exit codes:

  0: The run succeeded with no changes or failures; the system was already in
  the desired state.

  1: The run failed.

  2: The run succeeded, and some resources were changed.

  4: The run succeeded, and some resources failed.

  6: The run succeeded, and included both changes and failures.

* --help:
  Print this help message

* --loadclasses:
  Load any stored classes. 'puppet agent' caches configured classes
  (usually at /etc/puppetlabs/puppet/classes.txt), and setting this option causes
  all of those classes to be set in your puppet manifest.

* --logdest:
  Where to send log messages. Choose between 'syslog' (the POSIX syslog
  service), 'eventlog' (the Windows Event Log), 'console', or the path to a log
  file. Defaults to 'console'.

  A path ending with '.json' will receive structured output in JSON format. The
  log file will not have an ending ']' automatically written to it due to the
  appending nature of logging. It must be appended manually to make the content
  valid JSON.

* --noop:
  Use 'noop' mode where Puppet runs in a no-op or dry-run mode. This
  is useful for seeing what changes Puppet will make without actually
  executing the changes.

* --execute:
  Execute a specific piece of Puppet code

* --test:
  Enable the most common options used for testing. These are 'verbose',
  'detailed-exitcodes' and 'show_diff'.

* --verbose:
  Print extra information.

* --catalog:
  Apply a JSON catalog (such as one generated with 'puppet master --compile'). You can
  either specify a JSON file or pipe in JSON from standard input.

* --write-catalog-summary
  After compiling the catalog saves the resource list and classes list to the node
  in the state directory named classes.txt and resources.txt

EXAMPLE
-------
    $ puppet apply -l /tmp/manifest.log manifest.pp
    $ puppet apply --modulepath=/root/dev/modules -e ""include ntpd::server""
    $ puppet apply --catalog catalog.json


AUTHOR
------
Luke Kanies


COPYRIGHT
---------
Copyright (c) 2011 Puppet Labs, LLC Licensed under the Apache 2.0 License

root@master:~ #


{noformat}
",Bug,PUP-7686,"['beginner', 'the-goods']",puppet apply --help doesn't show configprint option
"Systems with complex, and overlapping, user lookups may double list a user's groups.

For example:

{noformat}
$ puppet resource user riehecky
{noformat}

{code:puppet}
user { 'riehecky':
  ensure           => 'present',
  comment          => 'Patrick Riehecky',
  gid              => '100',
  groups           => ['wheel', 'mock', 'staff', 'wheel', 'mock', 'staff'],
  home             => '/home/r/riehecky',
  shell            => '/bin/bash',
  uid              => '10000',
}
{code}",Bug,PUP-7685,['community'],puppet resource user may show double groups
"Ubuntu on Power 8

The following tests are failing they're all test issues as the fqdn and the agent.hostname are not the same and the test is expects them to be.

Test Case tests/reports/corrective_change_new_resource.rb
Test Case tests/reports/corrective_change_outside_puppet.rb
Test Case tests/reports/corrective_change_via_puppet.rb
Test Case tests/resource/file/ticket_6448_file_with_utf8_source.rb",Bug,PUP-7684,[],Puppet acceptance tests failures on Power 8 Ubuntu 16.04 and Rhel 7
Add acceptance test to validate that generated types take precedence over ruby types if present.,Task,PUP-7683,[],acceptance: add test ensuring that generated types take presedence over ruby types
"Add acceptance test to verify that when facter facts include characters that are sensitive to URL encoding (' ', '+', '*', '#', '%', '&'), the catalog is successfully compiled and applied.",Sub-task,PUP-7682,[],acceptance: add test ensuring URL special characters do not break catalog compile/apply
Add acceptance test to validate that the catalog sent by the puppet master is in the {{pson}} format if the catalog contains binary content.,Task,PUP-7681,[],acceptance: add test ensuring PSON catalog sent if it contains binary data
,Bug,PUP-7680,[],Create acceptance test for PUP-7671
"Its going to take a while to get the power machines for ubuntu up and running in CI. So we need to hand test Puppet, hiera, facter, and pxp-agent tests on Ubuntu ppc64 and file any issues found",Task,PUP-7679,[],"Hand test Puppet, hiera, facter, and pxp-agent tests on Ubuntu 16.04 and RedHat 7 Power 8 ppc64"
"The functions {{all}} and {{any}} are very useful to have as the alternative is to write a somewhat awkward reduce where lots of values are potentially skipped.

The {{all}} and {{any}} should follow the puppet iterative function convention of one or two keys being the index/key and value.",New Feature,PUP-7678,[],Add functions 'all' and 'any'
"We will need a mechanism to ship dark changes during the puppet 5 series that are targeted to go live / on by default in puppet 6

*In Scope*
* Create a puppet setting that can be used to determine whether a user wants to opt into possible future behavior of puppet (including breaking changes)
* Suggest name `--future-features` with boolean possible values: true, false (default to false)

*Notes*
* This flag doesn't have to be constrained to the puppet 5 => 6 transition. We could consider just retaining it to generally mean ""major features or changes anticipated for the next major version of puppet""
* Docs should note that code enabled with the `--future-features` flag is experimental and subject to change, especially based on user feedback
",New Feature,PUP-7677,[],Create a feature flag setting for puppet 6 features during puppet 5 lifetime
"In order to convert values from hiera backends to rich data values not directly representable in plain YAML/JSON, the {{lookup_options}} should be given a new key {{convert_to}} that accepts either a type name (for example {{""Sensitive""}}), or an array of type name and arguments to the type's {{new}} function.

This is of value as there is no way to represent certain data types directly in JSON, YAML, etc. and there is no way to have any logic post process a looked up value before it is assigned to a class parameter when using APL.

If a simple data type is used (for example {{Sensitive}}) it is expected that this type has a single argument constructor that accepts the looked up value and returns an instance of the specified data type. If the constructor is more complex and needs additional arguments, or where its single argument constructor is not appropriate for the use case, an array of typename + arguments is instead used. An example could be interpretation of a String in a particular format used to construct a time/date value.

The type entry in lookup_options is a String with a valid Puppet Type System specification of a data type, thereby also adding type matching - since a `new` will check that what is produced is compliant with any type constraints expressed in the type.

Example - Making a value Sensitive
{code:yaml}
mymodule::mykey: 42
lookup_options:
  mymodule::mykey:
    convert_to: ""Sensitive""
{code}

Example - turning a non Array value into an array:
{code:yaml}
mymodule::mykey: 42
lookup_options:
  mymodule::mykey:
    convert_to: 
      - ""Array""
      - true
{code}
",New Feature,PUP-7675,[],Add the ability to typecast a key using lookup_options
"A resource collector will always load the ruby resource, even if resources has been generated using {{puppet generate types}}.",Bug,PUP-7674,['resolved-issue-added'],Resource collectors fails to load generated resource types.
"On Solaris ZFS has a 'zoned' property. On Linux it's a noop, on FreeBSD it is called 'jailed'.  

Exemple :

{noformat}
$ bundle exec puppet resource zfs
Error: Could not run: Execution of '/sbin/zfs get -H -o value zoned SSD' returned 2: bad property list: invalid property 'zoned'
{noformat}

{{/sbin/zfs get -H -o value zoned SSD}} should be {{/sbin/zfs get -H -o value jailed SSD}} on FreeBSD",Bug,PUP-7672,[],The ZFS zoned property is not portable
"We have been using the following snippet to generate a number of resources dynamically in an each loop for a while now without problems. After the upgrade to 4.10.3 this morning (including a restart of the Puppetserver) we get this error on multiple nodes

{noformat}
Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: Evaluation Error: Error while evaluating a Resource Statement, Unknown resource type: 'Saltnetwork::Iptables::Service_chain::Icmp' at <location of Resource in snippet below>
{noformat}

The files are still in the

{code:puppet}
  each([ ""icmp""
       , ""ssh""
       , ""http""
       , ""http81""
       , ""https""
       , ""dhcp_client""
       , ""smtp""       
       , ""nrpe""
       ]) |$service_chain| {
    $service_chain_dashes = regsubst($service_chain, '_', '-', 'G')
    Resource[""saltnetwork::iptables::service_chain::${service_chain}""] { ""allow_${service_chain}"":
      rule_set_name => 'common'
    , rule_target  => { table => 'filter', chain => ""allow-${service_chain_dashes}"", target => 'ACCEPT' }
    }                          
  } 

{code}

For reference, the definition of the resource is in one of our module paths in saltnetwork/manifests/iptables/service_chain/icmp.pp


{code:puppet}
define saltnetwork::iptables::service_chain::icmp(
    SaltNetwork::IPTables::Rule_Set_Name $rule_set_name
  , SaltNetwork::IPTables::Rule_Target_Both $rule_target
  , Boolean $return = true
  ) {

  $chain_name = $rule_target['chain']

  $table = saltnetwork::iptables::table_for_target($rule_target)

  saltnetwork::iptables::custom_chain_both { ""${rule_set_name}_${table}_${chain_name}"":
      rule_set_name => $rule_set_name
    , table      => $table
    , chain_name => $chain_name
    , return     => $return
  }

  saltnetwork::iptables::rule_both { ""${rule_set_name}_${table}_${chain_name}_icmp"":
      rule_set_name => $rule_set_name
    , rule_order => 10
    , rule_matches => [ { match => 'iana_protocol', protocol => 'icmp' } ]
    , rule_target => $rule_target
    , rule_comment => ""ICMP""
  }

}

{code}

",Bug,PUP-7671,"['regression', 'resolved-issue-added']","Resource definition via Resource[""string""] { ""title"": ... } fails in Puppet 4.10.3"
"Almost all Pcore type classes are named using the convention: {{P<type name>Type}}. There are two exceptions, the {{PType}} and {{PHostClassType}}. They should be renamed to {{PTypeType}} and {{PClassType}} and the code in place to cater for the exceptions should be removed.",Improvement,PUP-7670,[],Rename PType and PHostClassType to follow naming convention
,Task,PUP-7669,[],Tag puppet 4.10.3 for agent 1.10.3 release
"The example used to create this failure is below. The service resource has an offset of 34, which is actually the start of the else keyword. It should be 45.

{code}
class firewall {
  if(true) {
  } else {
    service { 'service':
      ensure    => running
    }
  }
}
{code}",Bug,PUP-7668,[],ResourceExpression has incorrect offset when inside of an else block
"When adding a new node which has a FQDN set in /etc/hostname, the generated CSR on puppet agent doesn't include the FQDN, as long as no DNS search domain is set. This makes things weird, as a second CSR will be generated when network is set up properly and the DNS domain suddenly appears:

This might be due to facter not showing the FQDN correctly, but I'm unsure whether puppet agents derives the csr name from facter or not.

{noformat}
root@puppettest:~# cat /etc/hostname 
puppettest.mydomain.com

root@puppettest:~# facter hostname
puppettest
root@puppettest:~# facter fqdn    
puppettest

root@puppettest:~# puppet agent --server puppet.mydomain.com --waitforcert 10 -t --verbose
Info: Creating a new SSL key for puppettest
Info: Caching certificate for ca
Info: csr_attributes file loading from /etc/puppet/csr_attributes.yaml
Info: Creating a new SSL certificate request for puppettest
Info: Certificate Request fingerprint (SHA256): F5:09:15:AD:A1:2A:F2:85:9E:A1:65:C9:23:9F:A4:16:50:36:89:8A:06:6F:FC:45:4F:6D:00:E9:1D:BA:25:C0
Info: Caching certificate for ca
Notice: Did not receive certificate
{noformat}

As soon as I add ""{{domain mydomain.com}}"" to {{/etc/resolv.conf}}, {{facter fqdn}} shows {{""puppettest.mydomain.com""}}, and the puppet agent generates a new certificate on the next run.

I think it should be more consistent to take the FQDN from {{$(hostname)}}, if one is set there, instead of only {{$(hostname -s)}}, and adding one from {{/etc/resolv.conf}} if set. This applies both to {{facter fqdn}} and the agents method of deriving the certificate name.",Bug,PUP-7667,[],"puppet agent doesn't create certificate with FQDN if /etc/hostname contains FQDN, but search domain is not set"
,Task,PUP-7666,[],bump puppet version to 4.10.3
"This is related to PUP-7658, except that it applies to when the agent sends the catalog request in JSON, as we do not currently escape the fact values. So the {{&}} is interpreted as a query parameter delimiter instead of a fact value.

To repro. Create external facts with the following in either {{/etc/puppetlabs/facter/facts.d}} if running as root, or {{~/.facter/facts.d}}:

{code:yaml}
---
space: ""foo bar""
plus: ""foo+bar""
star: ""foo*bar""
hash: ""foo#bar""
percent: ""foo%bar""
ampersand: ""foo & bar""
{code}

Do an agent run, and it will fail with:

{noformat}
<- ""POST /puppet/v3/catalog/chara.corp.puppetlabs.net?environment=production HTTP/1.1\r\nAccept: application/json, application/x-msgpack, text/pson\r\nX-Puppet-Version: 5.0.0\r\nAccept-Encoding: gzip;q=1.0,deflate;q=0.6,identity;q=0.3\r\nUser-Agent: Puppet/5.0.0 Ruby/2.4.1-p111 (x86_64-darwin15)\r\nHost: chara.corp.puppetlabs.net:8140\r\nContent-Length: 5599\r\nContent-Type: application/x-www-form-urlencoded\r\n\r\n""
<- ""environment=production&facts_format=application%2Fjson&facts=%7B%22name%22%3A%22XXX.corp.puppetlabs.net%22%2C%22values%22%3A%7B%22puppetversion%22%3A%225.0.0%22%2C%22architecture%22%3A%22x86_64%22%2C%22kernel%22%3A%22Darwin%22%2C%22space%22%3A%22foo%20bar%22%2C%22plus%22%3A%22foo%2Bbar%22%2C%22star%22%3A%22foo%2Abar%22%2C%22hash%22%3A%22foo%23bar%22%2C%22percent%22%3A%22foo%25bar%22%2C%22ampersand%22%3A%22foo%20&%20bar%22%2C...
Error: Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: Could not intern from json: 743: unexpected token at '{""name"":""chara.corp.puppetlabs.net"",""values"":{""puppetversion"":""5.0.0"",""architecture"":""x86_64"",""kernel"":""Darwin"",""space"":""foo bar"",""plus"":""foo+bar"",""star"":""foo*bar"",""hash"":""foo#bar"",""percent"":""foo%bar"",""ampersand"":""foo '
{noformat}",Bug,PUP-7665,[],Puppet 5 fails when facter facts contain ampersands
"Somewhere in between 78e175e6 and 27fdad2 of puppet, puppet server tests have started failing.

Specifically, [https://jenkins-master-prod-1.delivery.puppetlabs.net/job/platform_puppetserver_integration-system_no-conditional_smoke-master/366/LAYOUT=redhat7-64ma-windows2008r2-64a,LDAP_TYPE=default,label=beaker/consoleFull], with output:
{code}10:26:01 p7145rmqxgo7fs9.delivery.puppetlabs.net (redhat7-64-1) 17:26:01$ curl --silent --cacert /etc/puppetlabs/puppet/ssl/certs/ca.pem --key /etc/puppetlabs/puppet/ssl/private_keys/p7145rmqxgo7fs9.delivery.puppetlabs.net.pem --cert /etc/puppetlabs/puppet/ssl/certs/p7145rmqxgo7fs9.delivery.puppetlabs.net.pem https://p7145rmqxgo7fs9.delivery.puppetlabs.net:8140/puppet/v3/catalog/p7145rmqxgo7fs9.delivery.puppetlabs.net?environment=production | python -m json.tool
10:26:01   {
10:26:02       ""issue_kind"": ""RUNTIME_ERROR"",
10:26:02       ""message"": ""Server Error: Function lookup() did not find a value for the name 'classes' on node p7145rmqxgo7fs9.delivery.puppetlabs.net""
10:26:02   }
10:26:02 
10:26:02 p7145rmqxgo7fs9.delivery.puppetlabs.net (redhat7-64-1) executed in 1.00 seconds
10:26:02 Minitest::Assertion: FAIL: Expected catalog to contain current_code_id 3aafbd686b0f884f4519de1ebd6fdac5d2454d14..
{code}
On repro, the actual stack trace from logs is [https://gist.github.com/MosesMendoza/4cdedf11fb92c137404a29b28d137a48].

*Update*
 This is the result of laying down a hiera 5 yaml file in puppet instead of the previous default hiera yaml file provided by the hiera project.

This was done in [https://github.com/puppetlabs/puppet/commit/7178bf1850c1addc40b5cc31a29aa4add09f34a9]. The puppet install.rb runs after the hiera install.rb during the puppet agent build process, so the hiera.yaml from hiera is overwritten by the hiera.yaml from puppet.

The new default does not specify the same hierarchy, so lookup now fails where it previously succeeded.

This is problematic because the original hiera.yaml file was never modified - which means package managers won't back it up given a new one (the hiera 5 yaml) on upgrade. If users were relying on the previous behavior their lookups will fail.",Bug,PUP-7664,[],"""Function lookup() did not find a value for the name 'classes' on node"""
"Setting the user resource's expiry to `absent` in SLES 11 results in the expiry for the user to be `1970-01-01` instead of `never`. This is different from what is seen in CentOS 6/7, and results in users that are not able to authenticate. 

{code}
# puppet resource user testuser ensure=present expiry=absent
Notice: /User[testuser]/ensure: created
user { 'testuser':
  ensure => 'present',
  expiry => '1970-01-01',
}
# puppet resource user testuser ensure=present expiry=absent
Notice: /User[testuser]/expiry: undefined 'expiry' from '1970-01-01'
user { 'testuser':
  ensure => 'present',
  expiry => '1970-01-01',
}
{code}
",Bug,PUP-7663,"['sles', 'triaged', 'type_and_provider', 'user']",User resource expiry incorrect on SLES 11
"There are a number of communications between an agent and master during an agent run - the agent sends a node request to obtain the server-specified environment, it sends requests for pluginfacts and plugin modules, it requests a catalog, and it sends a report. Somewhere in here we can probably remove at least one of these communications...

I wouldn't be surprised if there are additional communications that occur between the master and puppetdb due to historic indirector behavior that could also be corrected (ex confirming caching is configured correctly)

*In Scope*
* Investigate ways to optimize the number of and purpose of communications between agent and master, with an eye to reducing both number and payload
",Task,PUP-7662,[],SPIKE - investigate agent/master/puppetdb HTTP coms optimizations
"If you need to know about pre-docs, first read: https://confluence.puppetlabs.com/display/DOCS/Pre-docs%3A+How+to+create+and+share+them (Kari's demo video is also very helpful, linked on this same page.)

* What is the functional change?
* Why is this change happening?
* How does it affect users?
* What do users need to *do* because of this change?
* Which existing docs need to be updated or deleted because this new info makes it obsolete?
* Do you have a place in mind in the docs for this new info?
* Who is available for technical review for these docs after they are written?",Task,PUP-7661,[],Create Pre-Docs for PSON => JSON
"I would not expect these to be validated unless the resource is actually realized, since an unrealized resource could indicate that other related resources are missing.

{noformat}
branan@rycon:~/proj/pl/puppet$ bundle exec puppet apply foo.pp
Error: Could not find resource 'Package[aptitude]' in parameter 'require' at /home/branan/proj/pl/puppet/foo.pp:2 on node rycon
branan@rycon:~/proj/pl/puppet$ cat foo.pp
@package { 'apt':
  require => Package['aptitude']
}
{noformat}",Bug,PUP-7660,['resolved-issue-added'],Metaparameters are validated on unrealized resources
"Hi,

Overnight, puppet-agent was upgraded from 1.10.1-1xenial to 1.10.2-1xenial. This seemingly innocuous change resulted in the following error:
{code}
Jun 14 00:48:20 i-072fa113c6c3ba210 puppet-agent[6912]: Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: Could not intern from pson: expected value in object at '""#!/bin/bash\nPUPPET'!
{code}

(NB {{'#!/bin/bash\nPUPPET'}} is the start of our AWS EC2 user data, found in facter.)

Downgrading the package fixed the issue, nothing else seemed to work including restarting master and agents, and removing and generating new certificates.

If it matters, our puppet masters run 2.7.2-1puppetlabs1.",Bug,PUP-7659,[],Agent upgrade to 4.10.2 breaks runs
"Some of our Puppet users did upgrade to the newest Puppet agent version 4.10.2 and have failing Puppet runs when one of their custom Facts contain an ampersand character.

Facter itself does return the custom fact correctly.

Everything works with Puppet agent version 4.10.1

Steps to reproduce:
{code}
$ puppet --version
4.10.2
$ cat > /etc/facter/facts.d/foo.yaml
---
fact: ""foo & bar""
$ facter --version
3.6.5 (commit f1dd8bb97a2a5254093862bc0168a464e72f135a)
$ facter fact
foo & bar
{code}

Puppet agent output:
{code}
Info: Retrieving pluginfacts
Info: Retrieving plugin
Info: Loading facts
Error: Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: Could not intern from pson: expected value in object at '""foo '!
Warning: Not using cache on failed catalog
Error: Could not retrieve catalog; skipping run
{code}


We suspect the bug could originate from this commit:

https://github.com/puppetlabs/puppet/commit/fb99479df8dcc07f19cc9c2bff6b5c79dbcc1f

which changed the way the Facter fact values where formated into pson.


Puppetserver log:

{code}
2017-06-14 12:32:44,356 ERROR [qtp1802912927-72] [puppetserver] Puppet Server Error: Could not intern from pson: expected value in object at '""foo '!
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/external/pson/pure/parser.rb:292:in `parse_object'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/external/pson/pure/parser.rb:225:in `parse_value'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/external/pson/pure/parser.rb:280:in `parse_object'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/external/pson/pure/parser.rb:92:in `parse'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/external/pson/common.rb:121:in `parse'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/formats.rb:89:in `intern'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/format_support.rb:12:in `convert_from'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/catalog/compiler.rb:30:in `extract_facts_from_request'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/profiler/around_profiler.rb:58:in `profile'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/profiler.rb:51:in `profile'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/catalog/compiler.rb:23:in `extract_facts_from_request'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/catalog/compiler.rb:50:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:194:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/api/indirected_routes.rb:121:in `do_find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/api/indirected_routes.rb:48:in `call'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/context.rb:65:in `override'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet.rb:306:in `override'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/api/indirected_routes.rb:47:in `call'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/route.rb:82:in `process'
org/jruby/RubyArray.java:1613:in `each'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/route.rb:81:in `process'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/route.rb:87:in `process'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/route.rb:87:in `process'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/handler.rb:60:in `process'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/profiler/around_profiler.rb:58:in `profile'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/profiler.rb:51:in `profile'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/network/http/handler.rb:58:in `process'
file:/opt/puppetlabs/server/apps/puppetserver/puppet-server-release.jar!/puppetserver-lib/puppet/server/master.rb:42:in `handleRequest'
Puppet$$Server$$Master_1215734539.gen:13:in `handleRequest'
request_handler_core.clj:273:in `invoke'
jruby_request.clj:46:in `invoke'
jruby_request.clj:31:in `invoke'
request_handler_service.clj:34:in `handle_request'
request_handler.clj:3:in `invoke'
request_handler.clj:3:in `invoke'
core.clj:2515:in `invoke'
ring_middleware.clj:284:in `invoke'
core.clj:168:in `invoke'
core.clj:211:in `invoke'
core.clj:45:in `invoke'
core.clj:343:in `invoke'
core.clj:51:in `invoke'
ringutils.clj:83:in `invoke'
master_core.clj:428:in `invoke'
ring.clj:21:in `invoke'
ring.clj:12:in `invoke'
comidi.clj:249:in `invoke'
jetty9_core.clj:424:in `invoke'
normalized_uri_helpers.clj:80:in `invoke'
{code}",Bug,PUP-7658,[],Puppet 4.10.2 fails when Facter facts contains ampersand
"Hello,

Please take this report for the moment as a call for help debugging although it might end up becoming a bug report. The Puppet version over here is 4.9.4.

We're experiencing intermittent compilation failures in nodes making using of the following modules:

* https://github.com/openstack/puppet-openstacklib/tree/stable/newton
* https://github.com/openstack/puppet-nova/tree/stable/newton

The snippet to reproduce the issue is pretty simple:

{noformat}
  Package<| tag == 'nova-support-package'|>
  -> Nova_network<||>
{noformat}

and the error message as seen by the agent when requesting a catalog is the following:

{noformat}
Error: Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: Evaluation Error: Error while evaluating a Virtual Query, Could not autoload puppet/type/nova_network: Could not autoload puppet/provider/nova_network/nova: no such file to load -- puppet/provider/openstack at somewhere/environments/fooenv/somemanifest.pp:171:6 on node foo.example.org
{noformat}

The Package resouce collector is in principle irrelevant, the point is to force the parser to ask for the type called Nova_network.

This error only happens when the master hasn't seen that type before. When we restart the puppetserver daemon the compilation failure only happens during the first run that a particular thread serves for that node, the rest succeed. This a bit annoying in production as the number of masters that could serve a given node is quite high and we recycle instances every 3000 requests.

The chain of calls is the following:

The [nova provider|https://github.com/openstack/puppet-nova/blob/stable/newton/lib/puppet/provider/nova_network/nova.rb] for the Nova_network type is loaded, which loads another file using this statement:

{noformat}
require File.join(File.dirname(__FILE__), '..','..','..', 'puppet/provider/nova')
{noformat}

That  path resolves to [this file|https://github.com/openstack/puppet-nova/blob/stable/newton/lib/puppet/provider/nova.rb] which requires [another class from the openstacklib module|https://github.com/openstack/puppet-openstacklib/blob/stable/newton/lib/puppet/provider/openstack.rb]:

{noformat}
require 'puppet/provider/openstack'
{noformat}

If I don't misread the error message that's the class that the master is unable to find:

{noformat}
Could not autoload puppet/provider/nova_network/nova: no such file to load -- puppet/provider/openstack
{noformat}

Are the aforementioned modules doing anything wrong? Could it be a misconfiguration of our masters? A bug in Puppet itself perhaps?

We've got as well the full server-side backtrace so please don't hesitate to ask for it if you think that it might be useful. Any request to do extra debugging from our side is also more than welcome.

Thanks!",Bug,PUP-7657,[],Providers requiring files in other modules might cause intermittent compilation failures
Execute manual test: Hiera 5 content in various locales,Task,PUP-7656,[],Execute manual test: Hiera 5 content in various locales
"On puppet/master

I have the following manifest:
{code}
file { ""C:\Users\moses\Desktop\file_utf8_title_€"" :
  ensure => file,
  mode => ""0644"",
  content => ""This is the file content.
"",
}

{code}

when I apply this on windows (as this is a windows path), I get the following:
{code}
C:\Users\moses\development\puppet(master)> be puppet apply C:\Users\moses\Desktop\foo_win.pp
Warning: Unrecognized escape sequence '\U' at C:/Users/moses/Desktop/foo_win.pp:1:50
Warning: Unrecognized escape sequence '\m' at C:/Users/moses/Desktop/foo_win.pp:1:50
Warning: Unrecognized escape sequence '\D' at C:/Users/moses/Desktop/foo_win.pp:1:50
Warning: Unrecognized escape sequence '\f' at C:/Users/moses/Desktop/foo_win.pp:1:50
Notice: Compiled catalog for win-ghb4gdkiluo.localdomain in environment production in 0.04 seconds
Notice: Applied catalog in 0.03 seconds
{code}

These warnings are invalid since its just a file path, not escape sequences..",Bug,PUP-7655,[],"""Warning: Unrecognized escape sequence"" with windows file paths"
"Hi,

I have tried the upgrade to ""Puppet5- nightly"" (only the puppet-agent package) on a healthy and updated puppetserver. Here is the upgrade:

{code:bash}
wget https://apt.puppetlabs.com/puppet5-nightly-release-trusty.deb
dpkg -i puppet5-nightly-release-trusty.deb
apt-get update

# I only upgrade puppet-agent.
#
# If I update puppetdb and puppetdb-termini too I have a puppetdb problem
# (see https://tickets.puppetlabs.com/browse/PDB-3550).
apt-get install puppet-agent
reboot
{code}

After the reboot, I try a puppet run:

{code:bash}
~# /opt/puppetlabs/bin/puppet agent --test
Warning: Setting trusted_server_facts is deprecated. 
   (at /opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/settings.rb:1159:in `issue_deprecation_warning')
Info: Using configured environment 'production'
Info: Retrieving pluginfacts
Info: Retrieving plugin
Info: Loading facts
Error: Could not retrieve catalog from remote server: Error 500 on SERVER: Server Error: undefined method `key_attributes' for nil:NilClass
Warning: Not using cache on failed catalog
Error: Could not retrieve catalog; skipping run
{code}

In attachment, I have put the content of {{/var/log/puppetlabs/puppetserver/puppetserver.log}} during the puppet run.

Regards.",Bug,PUP-7654,[],Upgrade to puppet5-nightly: undefined method `key_attributes' for nil:NilClass
